Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
1,-1.0,-1.000,272.75,69.09,1.66,27.22,82.74,77.59
2,32.336,32.336,280.08,67.73,1.36,27.22,83.22,79.58
