Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,Session,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
0,57.097,57.097,317.49,PRACTICE,68.06,2.51,25.56,87.0,79.44
1,48.793,48.793,319.57,PRACTICE,65.87,2.19,25.56,87.41,80.5
2,48.765,48.765,321.2,PRACTICE,63.68,2.19,25.56,87.53,80.97
3,48.748,48.748,320.74,PRACTICE,61.62,2.06,25.56,83.23,80.22
